code,name,update_date,nav,nav_acc,dividend_ratio,volatility_20,momentum_20,drawdown,sharpe_20,mean_reversion
017460,汇添富丰和纯债C,2025-11-21,1.0031,1.0437,0.04047452896022327,0.002720501244875007,0.006522175396347585,-0.054705189747305503,0.12079182284237179,-0.004006414234437081
024947,招商瑞锦回报债券A,2025-11-21,0.9972,0.9972,0.0,0.0010629320913260686,-0.003397961223265966,-0.006871825515386931,-0.1595925558181064,-0.004869870669008348
006061,红土创新增强收益债券A,2025-11-21,1.3744,1.5094,0.09822467986030269,0.0010130667352043908,-0.00036366281184085913,-0.006843005658639272,-0.017470401507663033,-0.0031911807368726133
000185,工银添福债券B,2025-11-21,2.007,2.152,0.0722471350274041,0.0016379672910606178,0.005007511266900355,-0.0050855293573738684,0.1532724945750831,-0.0020138733497426157
023618,富国天丰强化债券(LOF)C,2025-11-21,1.2205,1.3545,0.10979106923392062,0.003376878806051212,0.004774841524656237,-0.036628733997154966,0.07214344321286693,-0.003547387628638761
450019,国富恒久信用债券C,2025-11-21,1.3008,1.6327,0.25515067650676515,0.0015620603853801025,0.003936096318592153,-0.004511920004877661,0.12649734892083128,-0.0016347770026018016
450018,国富恒久信用债券A,2025-11-21,1.3277,1.6846,0.26881072531445355,0.0015803432206619554,0.004083793390304846,-0.004432362153536931,0.12970638945613097,-0.0015529059645875488
161010,富国天丰强化债券(LOF)A,2025-11-21,1.2214,2.2079,0.8076797118061241,0.003368967854321937,0.005019336789270135,-0.022490813299685736,0.07591717557974138,-0.00342689295039163
519225,海富通集利纯债债券A,2025-11-21,1.1803,1.1803,0.0,0.0014650765899945238,0.0017823799015446173,-0.058846981899370134,0.06147337743141699,-0.0032891542355779273
395012,中海增强收益债券C,2025-11-21,1.185,1.601,0.351054852320675,0.001391107915550089,0.0,-0.005590062111801315,0.0006604354994598447,-0.003908712646576574
021841,海富通集利纯债债券C,2025-11-21,1.1782,1.1782,0.0,0.0014633249558205618,0.001785562452172318,-0.006073899105787157,0.06165384384411954,-0.0032612695686748436
011092,工银双玺6个月持有期债券C,2025-11-21,1.1068,1.1068,0.0,0.0012171331483526305,-0.0009026900162483198,-0.006463195691202957,-0.03652033641098969,-0.0035920380990107576
019673,汇丰晋信慧鑫6个月持有期债券A,2025-11-21,1.0785,1.0785,0.0,0.0012630819527162803,-0.0020357175904506253,-0.006997514041064405,-0.08006395470431776,-0.0037089555341035473
019674,汇丰晋信慧鑫6个月持有期债券C,2025-11-21,1.0724,1.0724,0.0,0.0012729726539466733,-0.0023257977486277337,-0.007128969539857457,-0.09084999446710985,-0.0038317735305728475
